groupe,modèle,mode,temps,formes,personne
-er,aimer,indicatif,plus-que-parfait,j'avais aimé,je
-er,aimer,indicatif,plus-que-parfait,tu avais aimé,tu
-er,aimer,indicatif,plus-que-parfait,il avait aimé,il
-er,aimer,indicatif,plus-que-parfait,nous avions aimé,nous
-er,aimer,indicatif,plus-que-parfait,vous aviez aimé,vous
-er,aimer,indicatif,plus-que-parfait,ils avaient aimé,ils
-er,aimer,indicatif,futur simple,j'aimerai,je
-er,aimer,indicatif,futur simple,tu aimeras,tu
-er,aimer,indicatif,futur simple,il aimera,il
-er,aimer,indicatif,futur simple,nous aimerons,nous
-er,aimer,indicatif,futur simple,vous aimerez,vous
-er,aimer,indicatif,futur simple,ils aimeront,ils
-er,aimer,indicatif,futur antérieur,j'aurai aimé,je
-er,aimer,indicatif,futur antérieur,tu auras aimé,tu
-er,aimer,indicatif,futur antérieur,il aura aimé,il
-er,aimer,indicatif,futur antérieur,nous aurons aimé,nous
-er,aimer,indicatif,futur antérieur,vous aurez aimé,vous
-er,aimer,indicatif,futur antérieur,ils auront aimé,ils
-er,aimer,subjonctif,présent,j'aime,je
-er,aimer,subjonctif,présent,tu aimes,tu
-er,aimer,subjonctif,présent,il aime,il
-er,aimer,subjonctif,présent,nous aimions,nous
-er,aimer,subjonctif,présent,vous aimiez,vous
-er,aimer,subjonctif,présent,ils aiment,ils
-er,aimer,subjonctif,imparfait,j'aimasse,je
-er,aimer,subjonctif,imparfait,tu aimasses,tu
-er,aimer,subjonctif,imparfait,il aimât,il
-er,aimer,subjonctif,imparfait,nous aimassions,nous
-er,aimer,subjonctif,imparfait,vous aimassiez,vous
-er,aimer,subjonctif,imparfait,ils aimassent,ils
-er,aimer,subjonctif,passé,j'aie aimé,je
-er,aimer,subjonctif,passé,tu aies aimé,tu
-er,aimer,subjonctif,passé,il ait aimé,il
-er,aimer,subjonctif,passé,nous ayons aimé,nous
-er,aimer,subjonctif,passé,vous ayez aimé,vous
-er,aimer,subjonctif,passé,ils aient aimé,ils
-er,aimer,subjonctif,plus-que-parfait,j'eusse aimé,je
-er,aimer,subjonctif,plus-que-parfait,tu eusses aimé,tu
-er,aimer,subjonctif,plus-que-parfait,il eût aimé,il
-er,aimer,subjonctif,plus-que-parfait,nous eussions aimé,nous
-er,aimer,subjonctif,plus-que-parfait,vous eussiez aimé,vous
-er,aimer,subjonctif,plus-que-parfait,ils eussent aimé,ils
-er,aimer,indicatif,passé simple,j'aimai,je
-er,aimer,indicatif,passé simple,tu aimas,tu
-er,aimer,indicatif,passé simple,il aima,il
-er,aimer,indicatif,passé simple,nous aimâmes,nous
-er,aimer,indicatif,passé simple,vous aimâtes,vous
-er,aimer,indicatif,passé simple,ils aimèrent,ils
-er,manger,indicatif,présent,je mange,je
-er,manger,indicatif,présent,tu manges,tu
-er,manger,indicatif,présent,il mange,il
-er,manger,indicatif,présent,nous mangeons,nous
-er,manger,indicatif,présent,vous mangez,vous
-er,manger,indicatif,présent,ils mangent,ils
-er,manger,indicatif,imparfait,je mangeais,je
-er,manger,indicatif,imparfait,tu mangeais,tu
-er,manger,indicatif,imparfait,il mangeait,il
-er,manger,indicatif,imparfait,nous mangions,nous
-er,manger,indicatif,imparfait,vous mangiez,vous
-er,manger,indicatif,imparfait,ils mangeaient,ils
-er,manger,indicatif,passé composé,j'ai mangé,je
-er,manger,indicatif,passé composé,tu as mangé,tu
-er,manger,indicatif,passé composé,il a mangé,il
-er,manger,indicatif,passé composé,nous avons mangé,nous
-er,manger,indicatif,passé composé,vous avez mangé,vous
-er,manger,indicatif,passé composé,ils ont mangé,ils
-er,manger,indicatif,plus-que-parfait,j'avais mangé,je
-er,manger,indicatif,plus-que-parfait,tu avais mangé,tu
-er,manger,indicatif,plus-que-parfait,il avait mangé,il
-er,manger,indicatif,plus-que-parfait,nous avions mangé,nous
-er,manger,indicatif,plus-que-parfait,vous aviez mangé,vous
-er,manger,indicatif,plus-que-parfait,ils avaient mangé,ils
-er,manger,indicatif,futur simple,je mangerai,je
-er,manger,indicatif,futur simple,tu mangeras,tu
-er,manger,indicatif,futur simple,il mangera,il
-er,manger,indicatif,futur simple,nous mangerons,nous
-er,manger,indicatif,futur simple,vous mangerez,vous
-er,manger,indicatif,futur simple,ils mangeront,ils
-er,manger,indicatif,passé simple,je mangeai,je
-er,manger,indicatif,passé simple,tu mangeas,tu
-er,manger,indicatif,passé simple,il mangea,il
-er,manger,indicatif,passé simple,nous mangeâmes,nous
-er,manger,indicatif,passé simple,vous mangeâtes,vous
-er,manger,indicatif,passé simple,ils mangèrent,ils
-er,manger,subjonctif,présent,je mange,je
-er,manger,subjonctif,présent,tu manges,tu
-er,manger,subjonctif,présent,il mange,il
-er,manger,subjonctif,présent,nous mangions,nous
-er,manger,subjonctif,présent,vous mangiez,vous
-er,manger,subjonctif,présent,ils mangent,ils
-er,manger,subjonctif,imparfait,je mangeasse,je
-er,manger,subjonctif,imparfait,tu mangeasses,tu
